,Source,Departure Time,Destination,Arrival Time,Date,Price,Airline,Timestamp
0,EWR,6:00 AM,BOS,7:12 AM,12 May,$69,JetBlue,2023-05-05 20:16:09.062490
1,EWR,7:00 AM,BOS,8:16 AM,12 May,$69,Delta,2023-05-05 20:16:09.066167
2,EWR,8:07 PM,BOS,9:29 PM,12 May,$69,United,2023-05-05 20:16:09.070208
3,EWR,6:45 AM,BOS,7:59 AM,12 May,$69,United,2023-05-05 20:16:09.074247
4,EWR,9:59 PM,BOS,11:21 PM,12 May,$69,United,2023-05-05 20:16:09.078296
5,EWR,7:59 AM,BOS,9:28 AM,12 May,$84,United,2023-05-05 20:16:09.082325
6,EWR,9:12 AM,BOS,10:41 AM,12 May,$84,United,2023-05-05 20:16:09.086352
7,EWR,2:45 PM,BOS,3:59 PM,12 May,$84,United,2023-05-05 20:16:09.090370
8,EWR,4:02 PM,BOS,5:24 PM,12 May,$84,United,2023-05-05 20:16:09.094416
9,EWR,6:57 PM,BOS,8:19 PM,12 May,$84,United,2023-05-05 20:16:09.098440
10,EWR,4:59 PM,BOS,6:21 PM,12 May,$99,United,2023-05-05 20:16:09.102446
11,LGA,6:00 AM,BOS,7:10 AM,12 May,$144,Delta,2023-05-05 20:16:09.105977
12,JFK,6:00 AM,BOS,7:20 AM,12 May,$144,Delta,2023-05-05 20:16:09.109553
13,JFK,6:30 AM,BOS,7:41 AM,12 May,$144,JetBlue,2023-05-05 20:16:09.113620
14,LGA,7:00 AM,BOS,8:23 AM,12 May,$144,Delta,2023-05-05 20:16:09.117203
15,LGA,7:15 AM,BOS,8:27 AM,12 May,$144,JetBlue,2023-05-05 20:16:09.121262
16,LGA,8:15 AM,BOS,9:30 AM,12 May,$144,JetBlue,2023-05-05 20:16:09.125326
17,JFK,8:30 AM,BOS,10:01 AM,12 May,$144,Delta,2023-05-05 20:16:09.128912
18,LGA,9:15 AM,BOS,10:34 AM,12 May,$144,JetBlue,2023-05-05 20:16:09.132982
19,LGA,10:15 AM,BOS,11:32 AM,12 May,$144,JetBlue,2023-05-05 20:16:09.137058
20,JFK,10:30 AM,BOS,11:40 AM,12 May,$144,JetBlue,2023-05-05 20:16:09.141134
21,LGA,12:59 PM,BOS,2:29 PM,12 May,$144,Delta,2023-05-05 20:16:09.144728
22,EWR,1:04 PM,BOS,2:18 PM,12 May,$144,United,2023-05-05 20:16:09.148757
23,LGA,2:15 PM,BOS,3:32 PM,12 May,$144,JetBlue,2023-05-05 20:16:09.152833
24,LGA,3:00 PM,BOS,4:30 PM,12 May,$144,Delta,2023-05-05 20:16:09.156414
25,LGA,4:00 PM,BOS,5:35 PM,12 May,$144,Delta,2023-05-05 20:16:09.160011
26,LGA,4:15 PM,BOS,5:35 PM,12 May,$144,JetBlue,2023-05-05 20:16:09.164089
27,LGA,5:00 PM,BOS,6:30 PM,12 May,$144,Delta,2023-05-05 20:16:09.167660
28,LGA,5:15 PM,BOS,6:42 PM,12 May,$144,JetBlue,2023-05-05 20:16:09.171723
29,JFK,5:25 PM,BOS,6:56 PM,12 May,$144,JetBlue,2023-05-05 20:16:09.175800
30,LGA,5:59 PM,BOS,7:32 PM,12 May,$144,Delta,2023-05-05 20:16:09.179391
31,LGA,6:15 PM,BOS,7:37 PM,12 May,$144,JetBlue,2023-05-05 20:16:09.183463
32,LGA,6:59 PM,BOS,8:29 PM,12 May,$144,Delta,2023-05-05 20:16:09.187054
33,LGA,7:15 PM,BOS,8:36 PM,12 May,$144,JetBlue,2023-05-05 20:16:09.191126
34,LGA,8:00 PM,BOS,9:14 PM,12 May,$144,Delta,2023-05-05 20:16:09.194662
35,LGA,8:15 PM,BOS,9:34 PM,12 May,$144,JetBlue,2023-05-05 20:16:09.198734
36,LGA,8:59 PM,BOS,10:22 PM,12 May,$144,Delta,2023-05-05 20:16:09.202310
37,LGA,9:59 PM,BOS,11:10 PM,12 May,$144,Delta,2023-05-05 20:16:09.205850
38,JFK,9:59 PM,BOS,11:30 PM,12 May,$144,American,2023-05-05 20:16:09.209447
39,JFK,10:00 PM,BOS,11:27 PM,12 May,$144,Delta,2023-05-05 20:16:09.212985
40,EWR,11:10 AM,BOS,12:27 PM,12 May,$159,Delta,2023-05-05 20:16:09.216583
41,EWR,11:15 AM,BOS,12:25 PM,12 May,$159,JetBlue,2023-05-05 20:16:09.220647
42,EWR,3:30 PM,BOS,4:43 PM,12 May,$159,JetBlue,2023-05-05 20:16:09.224715
43,EWR,5:00 PM,BOS,6:32 PM,12 May,$159,Delta,2023-05-05 20:16:09.228314
44,JFK,12:02 PM,BOS,1:37 PM,12 May,$164,American,2023-05-05 20:16:09.231881
45,LGA,12:15 PM,BOS,1:32 PM,12 May,$169,JetBlue,2023-05-05 20:16:09.235961
46,LGA,1:15 PM,BOS,2:31 PM,12 May,$169,JetBlue,2023-05-05 20:16:09.240018
47,JFK,3:30 PM,BOS,4:58 PM,12 May,$169,JetBlue,2023-05-05 20:16:09.244087
48,LGA,8:00 AM,BOS,9:28 AM,12 May,$189,Delta,2023-05-05 20:16:09.247670
49,LGA,9:00 AM,BOS,10:16 AM,12 May,$189,Delta,2023-05-05 20:16:09.251206
50,LGA,9:59 AM,BOS,11:28 AM,12 May,$189,Delta,2023-05-05 20:16:09.254781
51,JFK,10:00 AM,BOS,11:24 AM,12 May,$189,Delta,2023-05-05 20:16:09.258364
52,LGA,11:00 AM,BOS,12:30 PM,12 May,$189,Delta,2023-05-05 20:16:09.261954
53,LGA,12:00 PM,BOS,1:25 PM,12 May,$189,Delta,2023-05-05 20:16:09.265534
54,JFK,1:50 PM,BOS,3:22 PM,12 May,$189,Delta,2023-05-05 20:16:09.269130
55,JFK,4:29 PM,BOS,6:10 PM,12 May,$189,Delta,2023-05-05 20:16:09.272717
56,JFK,9:09 AM,BOS,10:43 AM,12 May,$199,American,2023-05-05 20:16:09.276293
57,JFK,7:29 PM,BOS,9:19 PM,12 May,$199,American,2023-05-05 20:16:09.279868
58,JFK,1:15 PM,BOS,2:31 PM,12 May,$229,JetBlue,2023-05-05 20:16:09.283438
59,LGA,1:59 PM,BOS,3:24 PM,12 May,$244,Delta,2023-05-05 20:16:09.287012
60,JFK,2:15 PM,BOS,3:46 PM,12 May,$264,JetBlue,2023-05-05 20:16:09.291058
61,JFK,10:29 PM,BOS,11:50 PM,12 May,$419,JetBlue,2023-05-05 20:16:09.295103
